hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,77,2022,August,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,94,0,0,Check-Out,08-07-15
Resort Hotel,0,99,2022,August,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,87.3,1,1,Check-Out,08-07-15
Resort Hotel,0,118,2022,August,27,2,4,10,1,0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62,0,2,Check-Out,15-07-15
Resort Hotel,0,95,2022,August,27,2,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,63.86,0,0,Check-Out,16-07-15
Resort Hotel,1,96,2022,August,27,2,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108.3,0,2,Canceled,29-05-15
Resort Hotel,0,69,2022,August,27,3,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,,0,Transient,65.5,0,0,Check-Out,08-07-15
Resort Hotel,1,45,2022,August,27,3,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,19-05-15
Resort Hotel,1,40,2022,August,27,3,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,19-06-15
Resort Hotel,0,15,2022,August,27,3,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,06-07-15
Resort Hotel,0,36,2022,August,27,3,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Check-Out,06-07-15
Resort Hotel,1,43,2022,August,27,3,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,0,Canceled,23-05-15
Resort Hotel,0,70,2022,August,27,3,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,07-07-15
Resort Hotel,1,45,2022,August,27,3,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Canceled,18-05-15
Resort Hotel,0,45,2022,August,27,3,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,07-07-15
Resort Hotel,0,16,2022,August,27,3,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123,0,0,Check-Out,07-07-15
Resort Hotel,0,70,2022,August,27,3,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,07-07-15
Resort Hotel,0,107,2022,August,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,2,Check-Out,09-07-15
Resort Hotel,1,47,2022,August,27,3,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,153,0,0,Canceled,02-06-15
Resort Hotel,0,96,2022,August,27,3,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,09-07-15
Resort Hotel,0,113,2022,August,27,3,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,,0,Transient-Party,82.88,0,2,Check-Out,09-07-15
Resort Hotel,0,90,2022,August,27,3,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,,0,Contract,82.35,0,0,Check-Out,09-07-15
Resort Hotel,0,50,2022,August,27,3,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,,0,Transient,119.35,0,1,Check-Out,09-07-15
Resort Hotel,0,113,2022,August,27,3,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,,0,Transient-Party,67.58,0,2,Check-Out,09-07-15
Resort Hotel,0,93,2022,August,27,3,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,,0,Contract,56.01,0,0,Check-Out,13-07-15
Resort Hotel,0,76,2022,August,27,3,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,110.7,0,0,Check-Out,16-07-15
Resort Hotel,0,3,2022,August,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88.2,1,0,Check-Out,03-07-15
Resort Hotel,0,1,2022,August,27,3,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,147,1,0,Check-Out,03-07-15
Resort Hotel,0,1,2022,August,27,3,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,1,2,Check-Out,03-07-15
Resort Hotel,0,0,2022,August,27,3,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147,0,0,Check-Out,03-07-15
Resort Hotel,0,0,2022,August,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,117.9,0,2,Check-Out,03-07-15
Resort Hotel,0,0,2022,August,27,3,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123,0,0,Check-Out,03-07-15
Resort Hotel,0,14,2022,August,27,3,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,,0,Transient,98,0,1,Check-Out,04-07-15
Resort Hotel,0,10,2022,August,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Check-Out,04-07-15
Resort Hotel,0,5,2022,August,27,3,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,135,1,2,Check-Out,04-07-15
Resort Hotel,0,17,2022,August,27,3,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,133,0,1,Check-Out,05-07-15
Resort Hotel,0,93,2022,August,27,3,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,,0,Contract,58.95,0,0,Check-Out,05-07-15
Resort Hotel,1,3,2022,August,27,3,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,136.33,0,2,Canceled,29-06-15
Resort Hotel,0,10,2022,August,27,4,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,,0,Transient,153,1,0,Check-Out,05-07-15
Resort Hotel,0,3,2022,August,27,4,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,110.5,0,0,Check-Out,05-07-15
Resort Hotel,0,51,2022,August,27,4,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,,0,Transient,97,0,0,Check-Out,05-07-15
Resort Hotel,1,71,2022,August,27,4,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,2,Canceled,16-06-15
Resort Hotel,1,63,2022,August,27,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,2,Canceled,18-06-15
Resort Hotel,1,62,2022,August,27,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,1,Canceled,03-07-15
Resort Hotel,1,101,2022,August,27,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,12-06-15
Resort Hotel,0,2,2022,August,27,4,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient,91.5,0,0,Check-Out,05-07-15
Resort Hotel,0,15,2022,August,27,4,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,114.5,0,0,Check-Out,05-07-15
Resort Hotel,1,51,2022,August,27,4,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,0,Canceled,09-06-15
Resort Hotel,0,3,2022,August,27,4,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,90.9,1,0,Check-Out,06-07-15
Resort Hotel,1,48,2022,August,27,4,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,26-05-15
Resort Hotel,0,2,2022,August,27,4,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,122,0,0,Check-Out,07-07-15
Resort Hotel,0,72,2022,August,27,4,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,,0,Transient,110.7,1,0,Check-Out,07-07-15
Resort Hotel,0,81,2022,August,27,4,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,85.86,0,0,Check-Out,11-07-15
Resort Hotel,0,99,2022,August,27,4,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,58.95,0,0,Check-Out,12-07-15
Resort Hotel,1,368,2022,August,27,4,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Canceled,19-05-15
Resort Hotel,0,364,2022,August,27,4,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Check-Out,13-07-15
Resort Hotel,1,81,2022,August,27,4,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,,0,Transient,124,0,1,Canceled,09-06-15
Resort Hotel,0,99,2022,August,27,4,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Contract,111.15,0,0,Check-Out,13-07-15
Resort Hotel,0,324,2022,August,27,4,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,134.73,0,0,Check-Out,17-07-15
Resort Hotel,0,69,2022,August,27,4,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,,0,Transient,92.45,0,1,Check-Out,17-07-15
Resort Hotel,1,79,2022,August,27,4,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,108.73,0,2,Canceled,15-04-15
Resort Hotel,0,12,2022,August,27,4,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,73.8,0,0,Check-Out,04-07-15
Resort Hotel,0,9,2022,August,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,1,2,Check-Out,04-07-15
Resort Hotel,0,1,2022,August,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,131,0,1,Check-Out,04-07-15
Resort Hotel,0,21,2022,August,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,04-07-15
Resort Hotel,0,9,2022,August,27,4,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,04-07-15
Resort Hotel,0,109,2022,August,27,4,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,2,Check-Out,04-07-15
Resort Hotel,1,109,2022,August,27,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Canceled,26-05-15
Resort Hotel,1,72,2022,August,27,4,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,29-06-15
Resort Hotel,1,63,2022,August,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,,0,Transient,117,0,1,Canceled,13-05-15
Resort Hotel,0,63,2022,August,27,4,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,,0,Transient,196.54,0,1,Check-Out,10-07-15
Resort Hotel,0,101,2022,August,27,4,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,99.3,1,2,Check-Out,10-07-15
Resort Hotel,0,102,2022,August,27,4,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,90.95,0,0,Check-Out,10-07-15
Resort Hotel,0,4,2022,August,27,5,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Transient,92.67,0,1,Check-Out,07-07-15
Resort Hotel,0,98,2022,August,27,5,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,71.55,1,0,Check-Out,07-07-15
Resort Hotel,0,92,2022,August,27,5,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,96.49,0,2,Check-Out,10-07-15
Resort Hotel,0,95,2022,August,27,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,85.8,1,2,Check-Out,10-07-15
Resort Hotel,0,102,2022,August,27,5,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Check-Out,11-07-15
Resort Hotel,1,26,2022,August,27,5,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Canceled,09-06-15
Resort Hotel,1,73,2022,August,27,5,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,172,0,1,Canceled,20-05-15
Resort Hotel,1,102,2022,August,27,5,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,1,Canceled,22-04-15
Resort Hotel,0,115,2022,August,27,5,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,11-07-15
Resort Hotel,0,102,2022,August,27,5,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,2,Check-Out,11-07-15
Resort Hotel,0,86,2022,August,27,5,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,2,Check-Out,11-07-15
Resort Hotel,0,78,2022,August,27,5,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,139,0,2,Check-Out,11-07-15
Resort Hotel,0,52,2022,August,27,5,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,,0,Transient,67.24,0,0,Check-Out,11-07-15
Resort Hotel,0,29,2022,August,27,5,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,116.5,0,1,Check-Out,12-07-15
Resort Hotel,1,101,2022,August,27,5,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Canceled,12-05-15
Resort Hotel,0,109,2022,August,27,5,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Check-Out,12-07-15
Resort Hotel,0,92,2022,August,27,5,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,14-07-15
Resort Hotel,0,92,2022,August,27,5,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,14-07-15
Resort Hotel,0,79,2022,August,27,5,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,149,0,1,Check-Out,14-07-15
Resort Hotel,0,2,2022,August,27,5,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,,0,Transient,163,1,0,Check-Out,05-07-15
Resort Hotel,0,30,2022,August,27,5,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,05-07-15
Resort Hotel,1,51,2022,August,27,5,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,105,0,0,Canceled,29-05-15
Resort Hotel,1,36,2022,August,27,5,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,,0,Transient,123,0,0,No-Show,04-07-15
Resort Hotel,1,73,2022,August,27,5,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,2,Canceled,13-05-15
Resort Hotel,1,33,2022,August,27,5,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,113,0,0,Canceled,16-06-15
Resort Hotel,0,32,2022,August,27,5,0,1,4,0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,,,0,Transient,0,0,1,Check-Out,05-07-15
Resort Hotel,0,8,2022,August,27,5,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,05-07-15
Resort Hotel,0,100,2022,August,27,5,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,73.8,1,1,Check-Out,06-07-15
Resort Hotel,0,1,2022,August,27,5,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,114.5,0,0,Check-Out,06-07-15
Resort Hotel,0,100,2022,August,27,5,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,73.8,0,2,Check-Out,06-07-15
Resort Hotel,0,100,2022,August,27,5,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,73.8,0,1,Check-Out,06-07-15
Resort Hotel,0,9,2022,August,28,6,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88.2,0,1,Check-Out,06-07-15
Resort Hotel,1,5,2022,August,28,6,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,01-07-15
Resort Hotel,0,0,2022,August,28,6,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306,,0,Transient,85.1,0,0,Check-Out,06-07-15
Resort Hotel,0,9,2022,August,28,6,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,89,0,0,Check-Out,06-07-15
Resort Hotel,0,2,2022,August,28,6,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,80.1,0,0,Check-Out,06-07-15
Resort Hotel,0,2,2022,August,28,6,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,06-07-15
Resort Hotel,0,9,2022,August,28,6,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184,,0,Transient,101,1,0,Check-Out,06-07-15
Resort Hotel,1,5,2022,August,28,6,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,0,Canceled,01-07-15
Resort Hotel,0,2,2022,August,28,6,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,167,0,1,Check-Out,06-07-15
Resort Hotel,0,44,2022,August,28,6,2,0,3,0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,240,,0,Transient,225,2,0,Check-Out,07-07-15
Resort Hotel,0,80,2022,August,28,6,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,1,0,Check-Out,07-07-15
